"jurisdiction","weekEndingDate","totalConfC19NewAdm","totalConfFluNewAdm","totalConfRSVNewAdm","totalConfC19NewAdmPer100k","totalConfFluNewAdmPer100k","totalConfRSVNewAdmPer100k","totalConfC19NewAdmPer100kLevel","totalConfFluNewAdmPer100kLevel","totalConfRSVNewAdmPer100kLevel","totalConfC19NewAdmHospRep","totalConfFluNewAdmHospRep","totalConfRSVNewAdmHospRep","totalConfC19NewAdmPercHospRep","totalConfFluNewAdmPercHospRep","totalConfRSVNewAdmPercHospRep"
"MS","2026-08-29","28","11","2","0.96","0.38","0.07","Very Low","Very Low","Very Low","78","78","78","74.29","74.29","74.29"
"NJ","2026-08-29","102","22","11","1.10","0.24","0.12","Very Low","Very Low","Very Low","82","82","82","96.47","96.47","96.47"
"VA","2026-08-29","39","14","3","0.45","0.16","0.03","Very Low","Very Low","Very Low","84","84","84","81.55","81.55","81.55"
"AL","2026-08-29","83","20","10","1.63","0.39","0.20","Very Low","Very Low","Very Low","94","94","94","94.95","94.95","94.95"
"KS","2026-08-29","9","6","2","0.31","0.21","0.07","Very Low","Very Low","Very Low","86","86","86","59.31","59.31","59.31"
"TN","2026-08-29","83","31","4","1.17","0.44","0.06","Very Low","Very Low","Very Low","127","127","127","95.49","95.49","95.49"
"MI","2026-08-29","24","13","3","0.24","0.13","0.03","Very Low","Very Low","Very Low","134","134","134","87.58","87.58","87.58"
"VI","2026-08-29","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","50","50","50"
"MP","2026-08-29",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"UT","2026-08-29","9","7","0","0.26","0.21","0.00","Very Low","Very Low","Very Low","55","55","55","98.21","98.21","98.21"
"DC","2026-08-29","7","1","0","1.04","0.15","0.00","Very Low","Very Low","Very Low","9","9","9","81.82","81.82","81.82"
"IA","2026-08-29","6","6","0","0.19","0.19","0.00","Very Low","Very Low","Very Low","96","96","96","78.05","78.05","78.05"
"CO","2026-08-29","22","3","2","0.38","0.05","0.03","Very Low","Very Low","Very Low","86","86","86","86","86","86"
"NH","2026-08-29","3","2","0","0.21","0.14","0.00","Very Low","Very Low","Very Low","22","22","22","84.62","84.62","84.62"
"RI","2026-08-29","3","1","0","0.27","0.09","0.00","Very Low","Very Low","Very Low","10","10","10","83.33","83.33","83.33"
"AR","2026-08-29","9","1","1","0.29","0.03","0.03","Very Low","Very Low","Very Low","60","60","60","63.83","63.83","63.83"
"AK","2026-08-29","4","7","0","0.56","0.98","0.00","Very Low","Very Low","Very Low","16","16","16","66.67","66.67","66.67"
"MA","2026-08-29","31","4","6","0.44","0.06","0.09","Very Low","Very Low","Very Low","83","83","83","92.22","92.22","92.22"
"NC","2026-08-29","133","12","6","1.24","0.11","0.06","Very Low","Very Low","Very Low","128","128","128","94.12","94.12","94.12"
"SD","2026-08-29","4","2","0","0.44","0.22","0.00","Very Low","Very Low","Very Low","54","54","54","88.52","88.52","88.52"
"ID","2026-08-29","14","4","0","0.71","0.20","0.00","Very Low","Very Low","Very Low","37","37","37","78.72","78.72","78.72"
"OH","2026-08-29","48","15","10","0.41","0.13","0.08","Very Low","Very Low","Very Low","192","192","192","89.3","89.3","89.3"
"PR","2026-08-29","110","43","5","3.35","1.31","0.15","Low","Very Low","Very Low","25","25","25","45.45","45.45","45.45"
"LA","2026-08-29","95","21","5","2.08","0.46","0.11","Very Low","Very Low","Very Low","138","138","138","84.15","84.15","84.15"
"DE","2026-08-29","5","1","0","0.49","0.10","0.00","Very Low","Very Low","Very Low","11","11","11","100","100","100"
"WI","2026-08-29","34","11","7","0.58","0.19","0.12","Very Low","Very Low","Very Low","134","134","134","90.54","90.54","90.54"
"AS","2026-08-29",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"CA","2026-08-29","585","96","21","1.51","0.25","0.05","Very Low","Very Low","Very Low","309","309","309","77.44","77.44","77.44"
"GA","2026-08-29","132","18","14","1.20","0.16","0.13","Very Low","Very Low","Very Low","111","111","111","69.38","69.38","69.38"
"ND","2026-08-29","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","38","38","38","77.55","77.55","77.55"
"NV","2026-08-29","12","13","1","0.38","0.41","0.03","Very Low","Very Low","Very Low","37","37","37","71.15","71.15","71.15"
"NY","2026-08-29","210","24","16","1.07","0.12","0.08","Very Low","Very Low","Very Low","172","172","172","84.31","84.31","84.31"
"PA","2026-08-29","74","137","48","0.57","1.06","0.37","Very Low","Very Low","Very Low","193","193","193","87.73","87.73","87.73"
"CT","2026-08-29","13","4","0","0.36","0.11","0.00","Very Low","Very Low","Very Low","28","28","28","87.5","87.5","87.5"
"GU","2026-08-29","2","0","0","1.30","0.00","0.00","Low","Very Low","Very Low","1","1","1","50","50","50"
"MO","2026-08-29","36","31","1","0.58","0.50","0.02","Very Low","Very Low","Very Low","89","89","89","71.77","71.77","71.77"
"OK","2026-08-29","19","8","0","0.47","0.20","0.00","Very Low","Very Low","Very Low","85","85","85","61.15","61.15","61.15"
"TX","2026-08-29","510","87","25","1.68","0.29","0.08","Very Low","Very Low","Very Low","391","391","391","70.96","70.96","70.96"
"NM","2026-08-29","14","3","0","0.67","0.14","0.00","Very Low","Very Low","Very Low","40","40","40","81.63","81.63","81.63"
"USA","2026-08-29","3,352","874","324","0.99","0.26","0.10","Very Low","Very Low","Very Low","4,632","4,632","4,632","80.39","80.39","80.39"
"IL","2026-08-29","39","12","2","0.31","0.10","0.02","Very Low","Very Low","Very Low","153","153","153","77.27","77.27","77.27"
"SC","2026-08-29","63","7","5","1.18","0.13","0.09","Very Low","Very Low","Very Low","67","67","67","89.33","89.33","89.33"
"MN","2026-08-29","16","7","0","0.28","0.12","0.00","Very Low","Very Low","Very Low","118","118","118","89.39","89.39","89.39"
"MT","2026-08-29","4","3","0","0.35","0.27","0.00","Very Low","Very Low","Very Low","50","50","50","79.37","79.37","79.37"
"PR","2026-07-25","25","25","8","0.76","0.76","0.24","Very Low","Very Low","Very Low","26","26","26","47.27","47.27","47.27"
"DC","2026-07-25","1","0","0","0.15","0.00","0.00","Very Low","Very Low","Very Low","8","8","8","72.73","72.73","72.73"
"MN","2026-07-25","4","2","2","0.07","0.03","0.03","Very Low","Very Low","Very Low","115","115","115","87.12","87.12","87.12"
"MT","2026-07-25","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","46","46","46","73.02","73.02","73.02"
"CA","2026-07-25","227","77","19","0.58","0.20","0.05","Very Low","Very Low","Very Low","323","323","323","80.95","80.95","80.95"
"GA","2026-07-25","45","11","10","0.41","0.10","0.09","Very Low","Very Low","Very Low","111","111","111","69.38","69.38","69.38"
"NV","2026-07-25","17","8","2","0.53","0.25","0.06","Very Low","Very Low","Very Low","36","36","36","69.23","69.23","69.23"
"NY","2026-07-25","93","10","11","0.48","0.05","0.06","Very Low","Very Low","Very Low","169","169","169","82.84","82.84","82.84"
"OH","2026-07-25","20","5","7","0.17","0.04","0.06","Very Low","Very Low","Very Low","189","189","189","87.91","87.91","87.91"
"AR","2026-07-25","6","0","1","0.20","0.00","0.03","Very Low","Very Low","Very Low","59","59","59","62.77","62.77","62.77"
"DE","2026-07-25","2","2","0","0.19","0.19","0.00","Very Low","Very Low","Very Low","10","10","10","90.91","90.91","90.91"
"VA","2026-07-25","12","14","6","0.14","0.16","0.07","Very Low","Very Low","Very Low","85","85","85","83.33","83.33","83.33"
"HI","2026-07-25","14","1","5","1.00","0.07","0.36","Very Low","Very Low","Very Low","19","19","19","67.86","67.86","67.86"
"KY","2026-07-25","11","8","1","0.24","0.18","0.02","Very Low","Very Low","Very Low","89","89","89","79.46","79.46","79.46"
"MD","2026-07-25","8","6","0","0.13","0.10","0.00","Very Low","Very Low","Very Low","36","36","36","70.59","70.59","70.59"
"NE","2026-07-25","2","2","0","0.10","0.10","0.00","Very Low","Very Low","Very Low","76","76","76","77.55","77.55","77.55"
"WA","2026-07-25","16","6","1","0.21","0.08","0.01","Very Low","Very Low","Very Low","95","95","95","97.94","97.94","97.94"
"MP","2026-07-25",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"UT","2026-07-25","4","2","2","0.12","0.06","0.06","Very Low","Very Low","Very Low","53","53","53","94.64","94.64","94.64"
"FL","2026-07-25","254","91","59","1.13","0.40","0.26","Very Low","Very Low","Very Low","221","221","221","78.93","78.93","78.93"
"WV","2026-07-25","2","0","2","0.11","0.00","0.11","Very Low","Very Low","Very Low","60","60","60","100","100","100"
"WY","2026-07-25","1","1","1","0.17","0.17","0.17","Very Low","Very Low","Very Low","19","19","19","61.29","61.29","61.29"
"IA","2026-07-25","4","0","1","0.12","0.00","0.03","Very Low","Very Low","Very Low","93","93","93","75.61","75.61","75.61"
"MS","2026-07-25","25","8","4","0.85","0.27","0.14","Very Low","Very Low","Very Low","83","83","83","79.05","79.05","79.05"
"NJ","2026-07-25","39","17","14","0.42","0.18","0.15","Very Low","Very Low","Very Low","83","83","83","97.65","97.65","97.65"
"KS","2026-07-25","5","1","1","0.17","0.03","0.03","Very Low","Very Low","Very Low","85","85","85","58.62","58.62","58.62"
"WI","2026-07-25","1","3","0","0.02","0.05","0.00","Very Low","Very Low","Very Low","149","149","149","100.68","100.68","100.68"
"VT","2026-07-25","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","14","14","14","93.33","93.33","93.33"
"AS","2026-07-25",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"IN","2026-07-25","13","8","5","0.19","0.12","0.07","Very Low","Very Low","Very Low","129","129","129","90.21","90.21","90.21"
"ND","2026-07-25","2","2","0","0.26","0.26","0.00","Very Low","Very Low","Very Low","39","39","39","79.59","79.59","79.59"
"OR","2026-07-25","7","4","3","0.17","0.09","0.07","Very Low","Very Low","Very Low","45","45","45","72.58","72.58","72.58"
"PA","2026-07-25","36","121","65","0.28","0.93","0.50","Very Low","Very Low","Very Low","188","188","188","85.45","85.45","85.45"
"AK","2026-07-25","3","0","0","0.42","0.00","0.00","Very Low","Very Low","Very Low","16","16","16","66.67","66.67","66.67"
"LA","2026-07-25","115","80","72","2.52","1.75","1.58","Very Low","Low","Low","133","133","133","81.1","81.1","81.1"
"MA","2026-07-25","8","3","4","0.11","0.04","0.06","Very Low","Very Low","Very Low","84","84","84","93.33","93.33","93.33"
"NC","2026-07-25","44","6","10","0.41","0.06","0.09","Very Low","Very Low","Very Low","128","128","128","94.12","94.12","94.12"
"SD","2026-07-25","0","1","1","0.00","0.11","0.11","Very Low","Very Low","Very Low","51","51","51","83.61","83.61","83.61"
"ID","2026-07-25","0","1","0","0.00","0.05","0.00","Very Low","Very Low","Very Low","27","27","27","57.45","57.45","57.45"
"MO","2026-07-25","10","6","0","0.16","0.10","0.00","Very Low","Very Low","Very Low","87","87","87","70.16","70.16","70.16"
"OK","2026-07-25","9","4","1","0.22","0.10","0.02","Very Low","Very Low","Very Low","90","90","90","64.75","64.75","64.75"
"AL","2026-07-25","40","6","5","0.78","0.12","0.10","Very Low","Very Low","Very Low","94","94","94","94.95","94.95","94.95"
"TN","2026-07-25","30","19","5","0.42","0.27","0.07","Very Low","Very Low","Very Low","126","126","126","94.74","94.74","94.74"
"MS","2026-09-05","38","19","2","1.30","0.65","0.07","Very Low","Very Low","Very Low","76","76","76","72.38","72.38","72.38"
"NJ","2026-09-05","117","18","9","1.26","0.19","0.10","Very Low","Very Low","Very Low","77","77","77","90.59","90.59","90.59"
"VA","2026-09-05","35","15","9","0.41","0.17","0.10","Very Low","Very Low","Very Low","74","74","74","71.84","71.84","71.84"
"AL","2026-09-05","102","18","6","2.00","0.35","0.12","Very Low","Very Low","Very Low","92","92","92","92.93","92.93","92.93"
"KS","2026-09-05","8","4","1","0.27","0.14","0.03","Very Low","Very Low","Very Low","82","82","82","56.55","56.55","56.55"
"TN","2026-09-05","74","31","4","1.04","0.44","0.06","Very Low","Very Low","Very Low","123","123","123","93.18","93.18","93.18"
"MI","2026-09-05","25","25","3","0.25","0.25","0.03","Very Low","Very Low","Very Low","133","133","133","86.93","86.93","86.93"
"VI","2026-09-05","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","2","2","2","100","100","100"
"MP","2026-09-05","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","100","100","100"
"UT","2026-09-05","8","11","0","0.23","0.32","0.00","Very Low","Very Low","Very Low","52","52","52","92.86","92.86","92.86"
"DC","2026-09-05","2","3","0","0.30","0.44","0.00","Very Low","Very Low","Very Low","6","6","6","54.55","54.55","54.55"
"IA","2026-09-05","16","0","0","0.50","0.00","0.00","Very Low","Very Low","Very Low","88","88","88","71.54","71.54","71.54"
"CO","2026-09-05","25","10","2","0.43","0.17","0.03","Very Low","Very Low","Very Low","80","80","80","80","80","80"
"NH","2026-09-05","4","0","0","0.29","0.00","0.00","Very Low","Very Low","Very Low","24","24","24","92.31","92.31","92.31"
"RI","2026-09-05","10","2","1","0.92","0.18","0.09","Very Low","Very Low","Very Low","9","9","9","75","75","75"
"AR","2026-09-05","20","6","1","0.65","0.20","0.03","Very Low","Very Low","Very Low","54","54","54","57.45","57.45","57.45"
"AK","2026-09-05","5","19","4","0.70","2.67","0.56","Very Low","Moderate","Low","17","17","17","70.83","70.83","70.83"
"MA","2026-09-05","31","5","3","0.44","0.07","0.04","Very Low","Very Low","Very Low","82","82","82","91.11","91.11","91.11"
"NC","2026-09-05","154","17","6","1.43","0.16","0.06","Very Low","Very Low","Very Low","117","117","117","86.03","86.03","86.03"
"SD","2026-09-05","5","2","0","0.55","0.22","0.00","Very Low","Very Low","Very Low","50","50","50","81.97","81.97","81.97"
"ID","2026-09-05","14","7","0","0.71","0.36","0.00","Very Low","Very Low","Very Low","33","33","33","70.21","70.21","70.21"
"OH","2026-09-05","67","16","6","0.57","0.14","0.05","Very Low","Very Low","Very Low","191","191","191","88.84","88.84","88.84"
"LA","2026-09-05","93","24","8","2.04","0.53","0.18","Very Low","Very Low","Very Low","133","133","133","81.1","81.1","81.1"
"PR","2026-09-05","42","51","4","1.28","1.55","0.12","Very Low","Very Low","Very Low","21","21","21","38.18","38.18","38.18"
"DE","2026-09-05","7","1","0","0.68","0.10","0.00","Very Low","Very Low","Very Low","10","10","10","90.91","90.91","90.91"
"WI","2026-09-05","21","26","0","0.36","0.44","0.00","Very Low","Very Low","Very Low","136","136","136","91.89","91.89","91.89"
"AS","2026-09-05",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"CA","2026-09-05","705","139","13","1.82","0.36","0.03","Very Low","Very Low","Very Low","300","300","300","75.19","75.19","75.19"
"GA","2026-09-05","108","22","8","0.98","0.20","0.07","Very Low","Very Low","Very Low","104","104","104","65","65","65"
"ND","2026-09-05","2","3","1","0.26","0.39","0.13","Very Low","Very Low","Very Low","37","37","37","75.51","75.51","75.51"
"NV","2026-09-05","32","10","2","1.01","0.31","0.06","Very Low","Very Low","Very Low","34","34","34","65.38","65.38","65.38"
"NY","2026-09-05","213","34","22","1.09","0.17","0.11","Very Low","Very Low","Very Low","166","166","166","81.37","81.37","81.37"
"PA","2026-09-05","105","135","44","0.81","1.04","0.34","Very Low","Very Low","Very Low","190","190","190","86.36","86.36","86.36"
"CT","2026-09-05","9","4","1","0.25","0.11","0.03","Very Low","Very Low","Very Low","28","28","28","87.5","87.5","87.5"
"GU","2026-09-05","2","0","0","1.30","0.00","0.00","Low","Very Low","Very Low","1","1","1","50","50","50"
"MO","2026-09-05","27","12","1","0.44","0.19","0.02","Very Low","Very Low","Very Low","83","83","83","66.94","66.94","66.94"
"OK","2026-09-05","28","7","0","0.69","0.17","0.00","Very Low","Very Low","Very Low","87","87","87","62.59","62.59","62.59"
"TX","2026-09-05","576","144","32","1.90","0.47","0.11","Very Low","Very Low","Very Low","381","381","381","69.15","69.15","69.15"
"NM","2026-09-05","25","1","0","1.19","0.05","0.00","Very Low","Very Low","Very Low","39","39","39","79.59","79.59","79.59"
"USA","2026-09-05","3,815","1,133","281","1.13","0.34","0.08","Very Low","Very Low","Very Low","4,487","4,487","4,487","77.89","77.89","77.89"
"IL","2026-09-05","48","33","5","0.38","0.26","0.04","Very Low","Very Low","Very Low","141","141","141","71.21","71.21","71.21"
"SC","2026-09-05","70","6","5","1.31","0.11","0.09","Very Low","Very Low","Very Low","69","69","69","92","92","92"
"MN","2026-09-05","26","10","0","0.45","0.17","0.00","Very Low","Very Low","Very Low","119","119","119","90.15","90.15","90.15"
"MT","2026-09-05","6","4","0","0.53","0.35","0.00","Very Low","Very Low","Very Low","50","50","50","79.37","79.37","79.37"
"DC","2026-08-15","7","0","0","1.04","0.00","0.00","Very Low","Very Low","Very Low","8","8","8","72.73","72.73","72.73"
"MN","2026-08-15","9","3","2","0.16","0.05","0.03","Very Low","Very Low","Very Low","116","116","116","87.88","87.88","87.88"
"MT","2026-08-15","2","1","0","0.18","0.09","0.00","Very Low","Very Low","Very Low","46","46","46","73.02","73.02","73.02"
"PR","2026-08-15","71","22","14","2.16","0.67","0.43","Very Low","Very Low","Very Low","28","28","28","50.91","50.91","50.91"
"FL","2026-08-15","380","112","81","1.69","0.50","0.36","Very Low","Very Low","Very Low","230","230","230","82.44","82.44","82.44"
"WV","2026-08-15","5","2","0","0.28","0.11","0.00","Very Low","Very Low","Very Low","56","56","56","93.33","93.33","93.33"
"CT","2026-08-15","10","3","1","0.28","0.08","0.03","Very Low","Very Low","Very Low","28","28","28","87.5","87.5","87.5"
"GU","2026-08-15","1","0","0","0.65","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","50","50","50"
"ME","2026-08-15","2","0","0","0.14","0.00","0.00","Very Low","Very Low","Very Low","29","29","29","78.38","78.38","78.38"
"TX","2026-08-15","295","60","16","0.97","0.20","0.05","Very Low","Very Low","Very Low","369","369","369","66.85","66.85","66.85"
"AR","2026-08-15","14","0","4","0.46","0.00","0.13","Very Low","Very Low","Very Low","53","53","53","56.38","56.38","56.38"
"MS","2026-08-15","40","8","2","1.37","0.27","0.07","Very Low","Very Low","Very Low","80","80","80","76.19","76.19","76.19"
"NJ","2026-08-15","49","13","9","0.53","0.14","0.10","Very Low","Very Low","Very Low","80","80","80","94.12","94.12","94.12"
"HI","2026-08-15","22","2","3","1.58","0.14","0.22","Very Low","Very Low","Very Low","21","21","21","75","75","75"
"KY","2026-08-15","19","6","1","0.42","0.13","0.02","Very Low","Very Low","Very Low","88","88","88","78.57","78.57","78.57"
"MD","2026-08-15","16","6","1","0.26","0.10","0.02","Very Low","Very Low","Very Low","33","33","33","64.71","64.71","64.71"
"NE","2026-08-15","1","0","0","0.05","0.00","0.00","Very Low","Very Low","Very Low","74","74","74","75.51","75.51","75.51"
"WA","2026-08-15","45","10","2","0.58","0.13","0.03","Very Low","Very Low","Very Low","94","94","94","96.91","96.91","96.91"
"MP","2026-08-15",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"UT","2026-08-15","4","3","0","0.12","0.09","0.00","Very Low","Very Low","Very Low","52","52","52","92.86","92.86","92.86"
"WY","2026-08-15","2","3","0","0.34","0.52","0.00","Very Low","Very Low","Very Low","19","19","19","61.29","61.29","61.29"
"IA","2026-08-15","4","3","2","0.12","0.09","0.06","Very Low","Very Low","Very Low","87","87","87","70.73","70.73","70.73"
"DE","2026-08-15","3","2","1","0.29","0.19","0.10","Very Low","Very Low","Very Low","10","10","10","90.91","90.91","90.91"
"VA","2026-08-15","19","9","3","0.22","0.10","0.03","Very Low","Very Low","Very Low","79","79","79","77.45","77.45","77.45"
"KS","2026-08-15","5","4","0","0.17","0.14","0.00","Very Low","Very Low","Very Low","81","81","81","55.86","55.86","55.86"
"WI","2026-08-15","7","4","1","0.12","0.07","0.02","Very Low","Very Low","Very Low","125","125","125","84.46","84.46","84.46"
"VT","2026-08-15","0","2","1","0.00","0.31","0.15","Very Low","Very Low","Very Low","13","13","13","86.67","86.67","86.67"
"AS","2026-08-15",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"IN","2026-08-15","25","8","2","0.36","0.12","0.03","Very Low","Very Low","Very Low","125","125","125","87.41","87.41","87.41"
"ND","2026-08-15","0","2","0","0.00","0.26","0.00","Very Low","Very Low","Very Low","39","39","39","79.59","79.59","79.59"
"OR","2026-08-15","12","2","0","0.28","0.05","0.00","Very Low","Very Low","Very Low","36","36","36","58.06","58.06","58.06"
"PA","2026-08-15","61","140","86","0.47","1.08","0.66","Very Low","Very Low","Very Low","175","175","175","79.55","79.55","79.55"
"AK","2026-08-15","3","4","1","0.42","0.56","0.14","Very Low","Very Low","Very Low","16","16","16","66.67","66.67","66.67"
"LA","2026-08-15","51","11","6","1.12","0.24","0.13","Very Low","Very Low","Very Low","128","128","128","78.05","78.05","78.05"
"MA","2026-08-15","32","1","4","0.46","0.01","0.06","Very Low","Very Low","Very Low","82","82","82","91.11","91.11","91.11"
"NC","2026-08-15","102","4","3","0.95","0.04","0.03","Very Low","Very Low","Very Low","124","124","124","91.18","91.18","91.18"
"SD","2026-08-15","2","4","2","0.22","0.44","0.22","Very Low","Very Low","Very Low","48","48","48","78.69","78.69","78.69"
"ID","2026-08-15","4","3","0","0.20","0.15","0.00","Very Low","Very Low","Very Low","36","36","36","76.6","76.6","76.6"
"MO","2026-08-15","21","10","2","0.34","0.16","0.03","Very Low","Very Low","Very Low","82","82","82","66.13","66.13","66.13"
"OK","2026-08-15","7","5","0","0.17","0.12","0.00","Very Low","Very Low","Very Low","78","78","78","56.12","56.12","56.12"
"AL","2026-08-15","67","12","12","1.31","0.24","0.24","Very Low","Very Low","Very Low","92","92","92","92.93","92.93","92.93"
"TN","2026-08-15","42","17","2","0.59","0.24","0.03","Very Low","Very Low","Very Low","124","124","124","93.23","93.23","93.23"
"PR","2026-08-01","32","33","7","0.97","1.00","0.21","Very Low","Very Low","Very Low","25","25","25","45.45","45.45","45.45"
"CA","2026-08-01","329","78","10","0.85","0.20","0.03","Very Low","Very Low","Very Low","317","317","317","79.45","79.45","79.45"
"GA","2026-08-01","56","5","17","0.51","0.05","0.15","Very Low","Very Low","Very Low","107","107","107","66.88","66.88","66.88"
"NV","2026-08-01","15","12","0","0.47","0.38","0.00","Very Low","Very Low","Very Low","37","37","37","71.15","71.15","71.15"
"NY","2026-08-01","89","20","13","0.46","0.10","0.07","Very Low","Very Low","Very Low","172","172","172","84.31","84.31","84.31"
"OH","2026-08-01","34","13","2","0.29","0.11","0.02","Very Low","Very Low","Very Low","193","193","193","89.77","89.77","89.77"
"DC","2026-08-01","2","0","1","0.30","0.00","0.15","Very Low","Very Low","Very Low","9","9","9","81.82","81.82","81.82"
"MN","2026-08-01","16","2","0","0.28","0.03","0.00","Very Low","Very Low","Very Low","120","120","120","90.91","90.91","90.91"
"MT","2026-08-01","8","0","0","0.71","0.00","0.00","Very Low","Very Low","Very Low","49","49","49","77.78","77.78","77.78"
"AR","2026-08-01","7","1","4","0.23","0.03","0.13","Very Low","Very Low","Very Low","63","63","63","67.02","67.02","67.02"
"MS","2026-08-01","26","4","3","0.89","0.14","0.10","Very Low","Very Low","Very Low","82","82","82","78.1","78.1","78.1"
"NJ","2026-08-01","31","11","7","0.33","0.12","0.08","Very Low","Very Low","Very Low","79","79","79","92.94","92.94","92.94"
"HI","2026-08-01","11","8","2","0.79","0.57","0.14","Very Low","Very Low","Very Low","17","17","17","60.71","60.71","60.71"
"KY","2026-08-01","9","2","2","0.20","0.04","0.04","Very Low","Very Low","Very Low","80","80","80","71.43","71.43","71.43"
"MD","2026-08-01","5","3","1","0.08","0.05","0.02","Very Low","Very Low","Very Low","37","37","37","72.55","72.55","72.55"
"NE","2026-08-01","0","0","1","0.00","0.00","0.05","Very Low","Very Low","Very Low","73","73","73","74.49","74.49","74.49"
"WA","2026-08-01","18","5","0","0.23","0.06","0.00","Very Low","Very Low","Very Low","94","94","94","96.91","96.91","96.91"
"MP","2026-08-01","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","100","100","100"
"UT","2026-08-01","4","1","0","0.12","0.03","0.00","Very Low","Very Low","Very Low","50","50","50","89.29","89.29","89.29"
"FL","2026-08-01","306","136","68","1.36","0.60","0.30","Very Low","Very Low","Very Low","232","232","232","83.15","83.15","83.15"
"WV","2026-08-01","1","4","1","0.06","0.23","0.06","Very Low","Very Low","Very Low","58","58","58","96.67","96.67","96.67"
"WY","2026-08-01","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","18","18","18","58.06","58.06","58.06"
"IA","2026-08-01","6","0","2","0.19","0.00","0.06","Very Low","Very Low","Very Low","87","87","87","70.73","70.73","70.73"
"DE","2026-08-01","2","3","0","0.19","0.29","0.00","Very Low","Very Low","Very Low","10","10","10","90.91","90.91","90.91"
"VA","2026-08-01","17","12","3","0.20","0.14","0.03","Very Low","Very Low","Very Low","78","78","78","76.47","76.47","76.47"
"KS","2026-08-01","8","1","0","0.27","0.03","0.00","Very Low","Very Low","Very Low","88","88","88","60.69","60.69","60.69"
"WI","2026-08-01","19","3","0","0.32","0.05","0.00","Very Low","Very Low","Very Low","147","147","147","99.32","99.32","99.32"
"VT","2026-08-01","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","14","14","14","93.33","93.33","93.33"
"AS","2026-08-01",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"IN","2026-08-01","17","5","3","0.25","0.07","0.04","Very Low","Very Low","Very Low","125","125","125","87.41","87.41","87.41"
"ND","2026-08-01","1","2","0","0.13","0.26","0.00","Very Low","Very Low","Very Low","40","40","40","81.63","81.63","81.63"
"OR","2026-08-01","7","2","1","0.17","0.05","0.02","Very Low","Very Low","Very Low","34","34","34","54.84","54.84","54.84"
"PA","2026-08-01","38","117","82","0.29","0.90","0.63","Very Low","Very Low","Very Low","183","183","183","83.18","83.18","83.18"
"AK","2026-08-01","3","2","1","0.42","0.28","0.14","Very Low","Very Low","Very Low","15","15","15","62.5","62.5","62.5"
"LA","2026-08-01","45","13","7","0.99","0.29","0.15","Very Low","Very Low","Very Low","133","133","133","81.1","81.1","81.1"
"MA","2026-08-01","17","1","4","0.24","0.01","0.06","Very Low","Very Low","Very Low","85","85","85","94.44","94.44","94.44"
"NC","2026-08-01","79","12","4","0.74","0.11","0.04","Very Low","Very Low","Very Low","128","128","128","94.12","94.12","94.12"
"SD","2026-08-01","1","0","0","0.11","0.00","0.00","Very Low","Very Low","Very Low","50","50","50","81.97","81.97","81.97"
"ID","2026-08-01","1","0","0","0.05","0.00","0.00","Very Low","Very Low","Very Low","26","26","26","55.32","55.32","55.32"
"MO","2026-08-01","13","10","1","0.21","0.16","0.02","Very Low","Very Low","Very Low","86","86","86","69.35","69.35","69.35"
"OK","2026-08-01","12","10","1","0.30","0.25","0.02","Very Low","Very Low","Very Low","82","82","82","58.99","58.99","58.99"
"AL","2026-08-01","51","7","6","1.00","0.14","0.12","Very Low","Very Low","Very Low","95","95","95","95.96","95.96","95.96"
"TN","2026-08-01","32","18","8","0.45","0.25","0.11","Very Low","Very Low","Very Low","125","125","125","93.98","93.98","93.98"
"DC","2026-08-08","1","0","0","0.15","0.00","0.00","Very Low","Very Low","Very Low","8","8","8","72.73","72.73","72.73"
"MN","2026-08-08","13","0","5","0.23","0.00","0.09","Very Low","Very Low","Very Low","115","115","115","87.12","87.12","87.12"
"MT","2026-08-08","2","0","1","0.18","0.00","0.09","Very Low","Very Low","Very Low","43","43","43","68.25","68.25","68.25"
"PR","2026-08-08","39","21","12","1.19","0.64","0.37","Very Low","Very Low","Very Low","25","25","25","45.45","45.45","45.45"
