"jurisdiction","weekEndingDate","totalConfC19NewAdm","totalConfFluNewAdm","totalConfRSVNewAdm","totalConfC19NewAdmPer100k","totalConfFluNewAdmPer100k","totalConfRSVNewAdmPer100k","totalConfC19NewAdmPer100kLevel","totalConfFluNewAdmPer100kLevel","totalConfRSVNewAdmPer100kLevel","totalConfC19NewAdmHospRep","totalConfFluNewAdmHospRep","totalConfRSVNewAdmHospRep","totalConfC19NewAdmPercHospRep","totalConfFluNewAdmPercHospRep","totalConfRSVNewAdmPercHospRep"
"USA","2026-05-09","1,402","1,431","1,543","0.42","0.42","0.46","Very Low","Very Low","Very Low","4,665","4,665","4,665","81.34","81.34","81.34"
"FL","2026-05-09","115","147","86","0.51","0.65","0.38","Very Low","Very Low","Very Low","234","234","234","84.48","84.48","84.48"
"WV","2026-05-09","10","3","40","0.57","0.17","2.26","Very Low","Very Low","Moderate","60","60","60","100","100","100"
"MN","2026-05-09","23","16","43","0.40","0.28","0.75","Very Low","Very Low","Low","120","120","120","90.91","90.91","90.91"
"MT","2026-05-09","11","5","17","0.97","0.44","1.51","Very Low","Very Low","Low","52","52","52","82.54","82.54","82.54"
"MP","2026-05-09",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"ID","2026-05-09","5","8","10","0.25","0.41","0.51","Very Low","Very Low","Very Low","33","33","33","70.21","70.21","70.21"
"MO","2026-05-09","17","11","25","0.28","0.18","0.40","Very Low","Very Low","Very Low","86","86","86","69.35","69.35","69.35"
"OH","2026-05-09","28","22","65","0.24","0.19","0.55","Very Low","Very Low","Very Low","195","195","195","90.7","90.7","90.7"
"OK","2026-05-09","8","7","10","0.20","0.17","0.25","Very Low","Very Low","Very Low","89","89","89","64.03","64.03","64.03"
"SC","2026-08-22","31","6","3","0.58","0.11","0.06","Very Low","Very Low","Very Low","68","68","68","90.67","90.67","90.67"
"CO","2026-08-22","26","4","1","0.44","0.07","0.02","Very Low","Very Low","Very Low","85","85","85","85","85","85"
"IL","2026-08-22","34","10","1","0.27","0.08","0.01","Very Low","Very Low","Very Low","154","154","154","77.78","77.78","77.78"
"NH","2026-08-22","5","0","0","0.36","0.00","0.00","Very Low","Very Low","Very Low","23","23","23","88.46","88.46","88.46"
"RI","2026-08-22","3","0","0","0.27","0.00","0.00","Very Low","Very Low","Very Low","10","10","10","83.33","83.33","83.33"
"AZ","2026-08-22","57","6","1","0.77","0.08","0.01","Very Low","Very Low","Very Low","88","88","88","88","88","88"
